transaction date,district,transaction type,land shifting total area,num_building,num_land,num_garage,total floor number,building state,main building materials,complete year,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd
2020-01-03,Shilin District,Land+Building,35.0,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,72.0,118.84,2,2,1,0,No carpark,0.0,0,91.91,0.0,13.0,0,15000000,126220
2020-01-08,Neihu District,Land+Building+Garage,95.46,2,1,6,11.0,Apartment_11storeyorgreater,Reinforced Concrete,104.0,742.8900000000001,5,6,1,0,Ramp Plane,159.06,0,403.68,11.88,29.16,1,120000000,161533
2020-01-05,Beitou District,Land+Building,12.98,1,4,0,7.0,Suite,Reinforced Concrete,66.0,50.339999999999996,1,1,1,1,No carpark,0.0,0,35.44,0.0,6.75,0,3500000,69527
2020-01-13,Beitou District,,10.26,0,0,2,7.0,Other,Reinforced Concrete,65.0,50.83,0,0,1,1,Ramp Plane,0.0,2500000,0.0,0.0,0.0,0,2500000,
2020-01-02,Daan District,Land+Building,5.26,1,2,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,67.0,36.35,0,0,0,1,No carpark,0.0,0,27.92,0.0,2.68,1,8000000,220083
2020-01-02,Songshan District,,6.66,0,0,1,14.0,Other,Reinforced Concrete,75.0,52.81999999999999,0,0,1,1,Ramp Plane,45.48,2860000,0.0,0.0,0.0,0,2860000,
2020-01-08,Shilin District,,3.97,0,0,1,8.0,Other,Reinforced Concrete,87.0,32.279999999999994,0,0,1,1,Ramp Plane,0.0,3000000,0.0,0.0,0.0,0,3000000,
2020-01-14,Shilin District,,0.16,0,0,1,12.0,Other,Reinforced Concrete,93.0,36.95,0,0,1,1,Ramp Plane,36.94,2500000,0.0,0.0,0.0,0,2500000,
2020-01-13,Zhongshan District,,0.04,0,0,1,15.0,Other,Reinforced Concrete,99.0,16.3,0,0,1,1,Ramp Machinery,0.0,1000000,0.0,0.0,0.0,0,1000000,
2020-01-13,Zhongshan District,,0.04,0,0,1,15.0,Other,Reinforced Concrete,99.0,16.3,0,0,1,1,Ramp Machinery,0.0,900000,0.0,0.0,0.0,0,900000,
2020-01-05,Xinyi District,Land+Building,57.0,1,1,0,2.0,Apartment_5storey,Strengthened Brickwork,57.0,81.0,4,1,1,0,No carpark,0.0,0,81.0,0.0,0.0,0,10160000,125432
2020-01-06,Songshan District,,4.14,0,0,1,10.0,Other,Reinforced Concrete,90.0,38.629999999999995,0,0,1,1,Ramp Plane,33.58,1880000,0.0,0.0,0.0,0,1880000,
2020-01-13,Zhongshan District,,0.13,0,0,1,12.0,Other,Reinforced Concrete,95.0,17.2,0,0,1,1,Ramp Machinery,17.2,750000,0.0,0.0,0.0,0,750000,
2020-01-07,ZhongZheng District,Land+Building+Garage,28.09,1,1,1,13.0,Apartment_11storeyorgreater,Reinforced Concrete,91.0,152.23000000000002,3,1,1,1,Ramp Plane,33.62,0,80.01,0.0,8.83,1,25000000,164225
2020-01-02,Wenshan District,,0.38,0,0,1,,Other,,,43.92,0,0,1,1,Ramp Plane,43.92,1800000,0.0,0.0,0.0,0,1800000,
